R,G,B
64.578125,91.74609375,117.22265625
72.0,120.0,158.0
82.796875,103.23046875,90.9375
82.671875,99.5234375,87.86328125
95.6484375,132.6875,112.6953125
107.74609375,107.69140625,97.74609375
149.64453125,162.12890625,121.2265625
167.7734375,166.5078125,121.2421875
99.4375,142.8828125,112.3125
100.328125,143.9609375,112.8671875
167.7734375,166.5078125,121.2421875
190.921875,171.703125,121.234375
70.96484375,96.48046875,121.35546875
91.74609375,124.453125,89.5390625
93.0625,126.0703125,90.546875
149.64453125,162.12890625,121.2265625
167.7734375,166.5078125,121.2421875
78.73828125,105.8046875,77.6875
80.20703125,107.6484375,78.9375
165.4384765625,164.2509765625,119.7275390625
149.64453125,162.12890625,121.2265625
97.0810546875,139.55126953125,109.97021484375
89.41748046875,121.25927734375,87.400390625
91.5078125,137.484375,115.625
76.311767578125,102.57080078125,75.453369140625
88.546875,119.75390625,84.85546875
90.390625,122.2578125,86.69140625
91.58984375,126.421875,113.5625
140.41796875,166.703125,145.4921875
141.64453125,169.0,145.82421875
138.29296875,134.421875,129.09765625
91.7421875,128.26171875,95.96875
157.22265625,177.0,174.44921875
70.37109375,93.46875,69.3046875
157.22265625,177.0,174.44921875
77.0078125,96.0703125,70.3203125
96.921875,77.0703125,63.8828125
116.2734375,170.5,145.140625
61.56640625,77.09375,64.80078125
76.2421875,72.1328125,62.5
137.6875,154.1640625,150.515625
97.08984375,135.47265625,102.4765625
129.3828125,126.83984375,109.51953125
113.6015625,101.4375,78.3125
140.0,148.625,142.078125
169.8515625,185.8125,186.2109375
103.25,121.4375,132.984375
102.23828125,100.453125,93.9921875
116.0390625,170.1953125,144.875
61.25,80.50390625,63.8984375
61.25,80.50390625,63.8984375
97.921875,140.28125,107.08203125
99.7734375,142.96875,107.9765625
99.765625,111.125,94.6015625
91.73828125,112.8125,110.2734375
102.109375,106.53125,113.0078125
147.48828125,170.5,165.171875
157.22265625,177.0,174.44921875
146.4140625,169.40625,164.27734375
111.68359375,120.1875,104.046875
117.11328125,132.79296875,123.0
111.390625,164.45703125,140.1328125
89.86083984375,110.37939453125,108.00927734375
143.833251953125,166.08935546875,161.2958984375
144.58642578125,166.806884765625,161.830078125
154.30078125,167.44921875,165.0
104.41015625,124.31640625,106.8828125
157.22265625,177.0,174.44921875
103.35546875,124.22265625,106.61328125
80.55078125,108.33203125,80.4140625
121.6171875,116.09375,100.1328125
97.921875,140.28125,107.08203125
75.16015625,92.6953125,69.5
87.546875,105.65625,111.44921875
105.9765625,114.265625,98.8984375
102.48828125,123.0078125,105.421875
82.5,102.25390625,90.0703125
82.671875,99.5234375,87.86328125
80.20703125,107.6484375,78.9375
80.55078125,108.33203125,80.4140625
91.58984375,126.421875,113.5625
91.7421875,128.26171875,95.96875
137.6875,154.1640625,150.515625
169.8515625,185.8125,186.2109375
157.22265625,177.0,174.44921875
97.08984375,135.47265625,102.4765625
129.3828125,126.83984375,109.51953125
113.6015625,101.4375,78.3125
140.0,148.625,142.078125
103.25,121.4375,132.984375
121.6171875,116.09375,100.1328125
92.2578125,138.3515625,116.3046875
90.390625,122.2578125,86.69140625
91.74609375,124.453125,89.5390625
102.23828125,100.453125,93.9921875
111.390625,164.45703125,140.1328125
82.5,102.25390625,90.0703125
157.22265625,177.0,174.44921875
61.25,80.50390625,63.8984375
62.12890625,81.82421875,65.22265625
97.921875,140.28125,107.08203125
99.7734375,142.96875,107.9765625
99.765625,111.125,94.6015625
97.921875,140.28125,107.08203125
91.73828125,112.8125,110.2734375
102.109375,106.53125,113.0078125
70.37109375,93.46875,69.3046875
77.0078125,96.0703125,70.3203125
96.921875,77.0703125,63.8828125
75.16015625,92.6953125,69.5
157.22265625,177.0,174.44921875
61.56640625,77.09375,64.80078125
76.2421875,72.1328125,62.5
111.68359375,120.1875,104.046875
117.11328125,132.79296875,123.0
87.546875,105.65625,111.44921875
105.9765625,114.265625,98.8984375
157.22265625,177.0,174.44921875
104.41015625,124.31640625,106.8828125
103.35546875,124.22265625,106.61328125
102.48828125,123.0078125,105.421875
78.73828125,105.8046875,77.6875
88.546875,119.75390625,84.85546875
91.6875,120.25,85.0
67.2578125,93.203125,71.625
77.0546875,108.8828125,87.1328125
89.875,121.8046875,107.29296875
101.29296875,134.4921875,107.7734375
154.41015625,167.66796875,167.01171875
132.296875,159.24609375,148.0703125
104.19921875,134.421875,108.3046875
123.7421875,115.0,94.90625
137.2578125,127.109375,101.2890625
116.0,129.78125,134.109375
118.2109375,125.8515625,123.87890625
102.33203125,137.359375,94.7109375
76.60546875,104.65234375,76.8359375
87.46875,123.1640625,95.375
91.47265625,126.203125,113.3203125
92.1640625,126.7578125,107.94921875
127.0078125,127.3828125,124.62109375
135.62109375,166.21875,156.62890625
115.88671875,170.04296875,144.78125
110.21484375,160.125,133.74609375
98.46484375,137.19921875,103.9296875
104.78515625,138.56640625,112.00390625
103.0,143.34375,125.515625
57.0,69.87890625,55.49609375
65.5,91.12890625,72.30078125
72.88671875,103.48046875,84.40234375
93.3984375,137.859375,113.2734375
99.7734375,142.96875,107.9765625
101.04296875,133.6640625,104.25390625
99.04296875,121.2265625,99.09765625
91.73828125,112.8125,110.2734375
90.05859375,117.3203125,109.7734375
94.125,127.296875,114.22265625
124.91796875,132.921875,137.36328125
87.64453125,119.765625,89.62109375
72.21875,96.84375,70.125
85.35546875,89.44921875,67.8984375
93.36328125,82.91796875,66.5
157.22265625,177.0,174.44921875
159.64453125,178.640625,176.76953125
102.15234375,144.765625,123.26171875
62.5625,78.5625,64.875
67.09765625,74.73046875,63.46875
72.43359375,73.12109375,62.984375
101.67578125,130.94140625,103.1484375
108.56640625,111.828125,94.58984375
127.52734375,120.3046875,93.8828125
97.484375,115.44921875,114.80859375
97.8125,112.296875,109.2734375
157.22265625,177.0,174.44921875
159.64453125,178.640625,176.76953125
113.12890625,156.76171875,133.28125
107.16796875,137.59765625,118.3828125
111.54296875,154.57421875,131.59765625
103.8984375,126.1640625,107.93359375
116.2734375,170.5,145.140625
116.0390625,170.1953125,144.875
106.734375,150.5078125,127.74609375
146.4140625,169.40625,164.27734375
147.48828125,170.5,165.171875
93.75,123.1796875,86.78125
65.1953125,90.2734375,69.84375
78.71875,113.3515625,92.41796875
91.4765625,122.32421875,105.39453125
113.19140625,144.2890625,122.8828125
122.8515625,155.65625,143.3515625
103.37890625,139.05859375,95.65625
75.55859375,102.953125,75.890625
87.0703125,124.34765625,98.80859375
91.33203125,126.0078125,113.13671875
113.1484375,149.78125,134.6796875
56.23828125,68.328125,54.37109375
66.26171875,92.6796875,73.42578125
93.578125,137.6171875,111.8984375
99.7734375,142.96875,107.9765625
91.73828125,112.8125,110.2734375
90.90625,122.0703125,111.5234375
132.1953125,141.53515625,145.32421875
123.4609375,152.6171875,136.2109375
82.84765625,112.76171875,85.078125
72.21875,96.84375,70.125
109.96484375,147.8203125,131.75
157.4375,177.1953125,174.61328125
131.3046875,167.390625,154.234375
94.05859375,131.25,111.99609375
62.5625,78.5625,64.875
105.87109375,132.4296875,106.87109375
106.13671875,105.58203125,87.828125
130.0390625,126.18359375,101.0234375
110.56640625,148.5,132.265625
157.4375,177.1953125,174.61328125
161.46484375,179.9765625,178.43359375
111.51953125,150.859375,128.4140625
108.87890625,143.6015625,123.3125
110.10546875,148.9375,127.265625
91.984375,134.984375,113.28515625
90.578125,131.65234375,110.4375
163.23828125,181.2578125,180.02734375
97.76953125,146.32421875,123.9453125
105.71875,141.71875,119.62890625
89.5,114.73828125,95.13671875
90.3046875,128.28515625,107.41796875
89.890625,100.6015625,82.7578125
116.2734375,170.5,145.140625
166.25390625,160.49609375,155.7734375
163.578125,151.890625,147.7890625
110.265625,162.45703125,138.4765625
98.39453125,101.4296875,84.71875
111.2421875,156.37109375,132.66015625
100.328125,143.9609375,112.8671875
99.4375,142.8828125,112.3125
104.74609375,120.921875,101.3046875
140.6640625,76.56640625,71.74609375
159.375,86.25,77.6875
88.26171875,111.53125,104.30078125
88.26171875,111.53125,104.30078125
95.79296875,120.04296875,115.8203125
85.82421875,126.890625,104.72265625
128.26953125,136.46875,140.26171875
157.22265625,177.0,174.44921875
99.17578125,141.14453125,108.89453125
84.86328125,114.2109375,80.96484375
87.6875,118.875,82.46875
87.6796875,125.3203125,109.1953125
121.88671875,144.6484375,139.2265625
128.55078125,149.265625,145.53125
133.05859375,162.296875,152.71875
138.8984375,152.65625,154.4375
103.83984375,150.96484375,126.28515625
62.1640625,81.09765625,63.01171875
157.22265625,177.0,174.44921875
109.5234375,155.0078125,121.33203125
106.03515625,109.39453125,95.42578125
104.6640625,96.3046875,76.2265625
96.3359375,107.75,94.953125
111.234375,147.5234375,126.0546875
101.640625,142.7109375,124.171875
103.3203125,143.765625,125.8828125
159.64453125,178.640625,176.76953125
164.5859375,182.1171875,181.30078125
104.25390625,154.859375,131.4921875
103.91796875,154.453125,131.1640625
166.4921875,182.01953125,182.49609375
164.1328125,179.3359375,179.86328125
94.375,139.17578125,114.0625
94.0859375,138.86328125,114.0859375
94.89453125,142.46484375,120.4765625
103.0625,114.73828125,95.40234375
159.64453125,178.640625,176.76953125
149.859375,89.47265625,80.97265625
162.46875,90.3125,79.734375
104.19140625,142.26171875,102.515625
102.5078125,140.18359375,101.1953125
116.515625,166.44140625,141.484375
159.375,86.25,77.6875
93.87890625,131.20703125,98.6796875
93.0625,126.0703125,90.546875
136.65234375,74.74609375,70.16796875
148.78125,81.0,73.515625
116.0234375,161.73046875,136.80078125
105.0,121.17578125,101.4609375
119.78125,173.5234375,147.3125
113.57421875,163.26171875,138.796875
114.73828125,155.67578125,132.0703125
110.05078125,135.9375,114.27734375
96.984375,104.0234375,87.4453125
114.5,165.828125,141.046875
118.90625,171.0078125,145.09375
103.75390625,134.1484375,113.7734375
108.40625,142.12890625,120.12890625
111.71875,156.65234375,132.81640625
97.18359375,111.42578125,93.3125
117.4921875,121.03515625,130.83984375
113.90234375,122.98828125,134.359375
119.30078125,173.42578125,147.375
90.234375,95.52734375,77.76171875
107.69140625,158.1640625,135.0078125
108.421875,125.2265625,105.33203125
68.796875,90.79296875,74.4296875
98.02734375,135.08203125,114.95703125
101.8515625,142.9140625,124.4140625
102.0234375,143.203125,124.6015625
164.45703125,181.9765625,181.1875
92.6484375,137.03125,112.78125
107.25390625,158.66796875,134.734375
